2024-11-19 17:45:59 INFO  c.b.T.LoginPageTests:45 - Setting up driver ...
2024-11-19 17:46:01 INFO  c.b.T.LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:46:01 INFO  c.b.T.LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:46:01 INFO  c.b.T.LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:46:02 INFO  c.b.u.ActionUtils:95 - Fetching title of page...
2024-11-19 17:46:02 INFO  c.b.p.l.LoginPage:74 - Expected page title: Login - HP Banking
2024-11-19 17:46:02 INFO  c.b.p.l.LoginPage:75 - Fetch page title: Login - HP Banking
2024-11-19 17:46:02 INFO  c.b.T.LoginPageTests:25 - Login Page is opened
2024-11-19 17:46:02 INFO  c.b.p.l.LoginPage:41 - Minal_Ch
2024-11-19 17:46:02 INFO  c.b.p.l.LoginPage:43 - 12345
2024-11-19 17:46:02 INFO  c.b.p.l.LoginPage:46 - Sign In button clicked
2024-11-19 17:46:03 INFO  c.b.u.ActionUtils:95 - Fetching title of page...
2024-11-19 17:46:03 INFO  c.b.p.l.LoginPage:89 - Fetch page title: User Dashboard - HP Banking
2024-11-19 17:47:55 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 17:47:56 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 17:47:56 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 17:47:56 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 17:47:58 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:47:58 INFO  LoginPage:74 - Expected page title: Login - HP Banking
2024-11-19 17:47:58 INFO  LoginPage:75 - Fetch page title: Login - HP Banking
2024-11-19 17:47:58 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 17:47:58 INFO  LoginPage:41 - Minal_Ch
2024-11-19 17:47:58 INFO  LoginPage:43 - 12345
2024-11-19 17:47:58 INFO  LoginPage:46 - Sign In button clicked
2024-11-19 17:47:58 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 17:47:58 INFO  LoginPage:89 - Fetch page title: User Dashboard - HP Banking
2024-11-19 17:47:59 INFO  LoginPageTests:93 - Driver tear down complete ...
2024-11-19 19:04:14 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 19:04:17 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 19:04:17 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 19:04:17 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 19:04:19 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 19:04:19 INFO  LoginPage:74 - Expected page title: Login - HP Banking
2024-11-19 19:04:19 INFO  LoginPage:75 - Fetch page title: Login - HP Banking
2024-11-19 19:04:19 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 19:04:19 INFO  TestData:66 - Row 1 data: {UserName/Email=invalid@example.com, ExpectedMessage=Invalid credentials, Password=invalidPassword}
2024-11-19 19:04:19 INFO  TestData:66 - Row 2 data: {UserName/Email=, ExpectedMessage=Email or Phone required, Password=password}
2024-11-19 19:04:19 INFO  TestData:66 - Row 3 data: {UserName/Email=email@example.com, ExpectedMessage=Password required, Password=}
2024-11-19 19:04:20 INFO  LoginPageTests:93 - Driver tear down complete ...
2024-11-19 21:29:27 INFO  LoginPageTests:45 - Setting up driver ...
2024-11-19 21:29:28 INFO  LoginPageTests:52 - Chrome browser initialized.
2024-11-19 21:29:28 INFO  LoginPageTests:67 - Driver setup complete ...
2024-11-19 21:29:28 INFO  LoginPageTests:21 - Login Page is Initialised
2024-11-19 21:29:30 INFO  ActionUtils:95 - Fetching title of page...
2024-11-19 21:29:30 INFO  LoginPage:74 - Expected page title: Login - HP Banking
2024-11-19 21:29:30 INFO  LoginPage:75 - Fetch page title: Login - HP Banking
2024-11-19 21:29:30 INFO  LoginPageTests:25 - Login Page is opened
2024-11-19 21:29:30 INFO  TestData:66 - Row 1 data: {Comment=Enter invalid username and incorrect password, UserName/Email=invalidUser, ExpectedMessage=Invalid credentials, Password=wrongPassword123}
2024-11-19 21:29:30 INFO  TestData:66 - Row 2 data: {Comment=Enter valid username and incorrect password, UserName/Email=validUser, ExpectedMessage=Email or Phone required, Password=123.0}
2024-11-19 21:29:30 INFO  TestData:66 - Row 3 data: {Comment=Enter invalid username and leave password field blank, UserName/Email=invalidUser, ExpectedMessage=Password required, Password=}
2024-11-19 21:29:30 INFO  TestData:66 - Row 4 data: {Comment=Leave username field blank and enter valid password, UserName/Email=, ExpectedMessage=null, Password=12345.0}
2024-11-19 21:29:30 INFO  TestData:66 - Row 5 data: {Comment=Leave both fields blank, UserName/Email=, ExpectedMessage=null, Password=}
2024-11-19 21:29:30 INFO  TestData:66 - Row 6 data: {Comment=Enter special characters in username field, UserName/Email=!@#$%^&*(), ExpectedMessage=null, Password=12345.0}
2024-11-19 21:29:30 INFO  TestData:66 - Row 7 data: {Comment=Enter invalid email without "@", UserName/Email=invalidemail.com, ExpectedMessage=null, Password=12345.0}
2024-11-19 21:29:30 INFO  TestData:66 - Row 8 data: {Comment=Enter email without domain, UserName/Email=invalid@, ExpectedMessage=null, Password=12345.0}
2024-11-19 21:29:30 INFO  TestData:66 - Row 9 data: {Comment=Enter valid email and blank password, UserName/Email=chaudhariminal09@gmail.com, ExpectedMessage=null, Password=}
